likes,comments,views,reposts,text,date,time,attachments
28,1,1680,1,Черный человек,1702631100,2023-12-15 12:05:00,1
40,0,2158,5,“Eco high-tec” город в сумерках,1702620300,2023-12-15 09:05:00,5
16,1,1072,2,Немного космического ужаса от Midjourney,1702609500,2023-12-15 06:05:00,3
32,0,2331,7,Гиена-панк,1702598700,2023-12-15 03:05:00,1
22,1,2803,3,Звёздный путь в Средиземье,1702577100,2023-12-14 21:05:00,3
21,0,1238,2,Лисица,1702566300,2023-12-14 18:05:00,1
11,0,1062,0,Французский бульдог на Скейте,1702555500,2023-12-14 15:05:00,1
13,0,1556,2,Веном,1702544700,2023-12-14 12:05:00,1
21,2,1623,1,Электробайк от Теслы,1702533900,2023-12-14 09:05:00,1
24,1,1569,0,Повелитель слонов,1702523100,2023-12-14 06:05:00,1
41,3,2538,3,Футуристическое здание в Антарктике,1702512300,2023-12-14 03:05:00,1
27,3,2326,3,Мрачный ковбой,1702490700,2023-12-13 21:05:00,1
10,0,1866,1,Невеста,1702479900,2023-12-13 18:05:00,1
12,1,1164,0,Стейк,1702469100,2023-12-13 15:05:00,1
9,0,1147,0,Совенок под Луной,1702458300,2023-12-13 12:05:00,1
44,4,3101,6,Заброшенный домик возле железной дороги,1702447500,2023-12-13 09:05:00,1
16,4,2687,5,Дьявол влияет на людей,1702436700,2023-12-13 06:05:00,1
37,1,3410,7,Темная сторона луны,1702425900,2023-12-13 03:05:00,1
35,1,2059,2,Размытая линия берега,1702404300,2023-12-12 21:05:00,1
22,0,1627,4,Сакура в спальне,1702393500,2023-12-12 18:05:00,1
11,2,1677,0,Красная Шапочка в неаполитанском стиле,1702382700,2023-12-12 15:05:00,1
13,0,1135,1,Улыбающееся облачко,1702371900,2023-12-12 12:05:00,2
10,0,1444,1,Вещающий телевизор,1702361100,2023-12-12 09:05:00,1
16,0,1753,1,Шахматы с собакой.,1702350300,2023-12-12 06:05:00,3
14,0,1430,2,Мрачный Джокер,1702339500,2023-12-12 03:05:00,1
28,3,1851,13,,1702317900,2023-12-11 21:05:00,4
21,6,1618,1,Кошка с чемоданом,1702296300,2023-12-11 15:05:00,1
88,2,4056,18,Великий чайник Дарта Вейдера,1702285500,2023-12-11 12:05:00,1
14,0,1453,2,Вход во тьму,1702274700,2023-12-11 09:05:00,1
4,0,1241,0,Нейросети помогают выявить некачественные лекарства.,1702263900,2023-12-11 06:05:00,1
20,0,1701,2,Девочка с динозавром,1702253100,2023-12-11 03:05:00,1
49,1,2825,2,Неоновое граффити,1702231500,2023-12-10 21:05:00,1
28,0,1884,5,Герои Marvel в японском стиле,1702220700,2023-12-10 18:05:00,6
14,2,1365,2,Африка,1702209900,2023-12-10 15:05:00,1
10,0,1429,0,Майлз Моралес человек паук,1702199100,2023-12-10 12:05:00,1
17,1,1413,1,Космический круизный лайнер,1702188300,2023-12-10 09:05:00,1
17,0,1522,2,Уставший король,1702177500,2023-12-10 06:05:00,1
14,0,2018,2,Заряженные бегуньи,1702166700,2023-12-10 03:05:00,5
17,0,1333,4,Дом на берегу океана,1702145100,2023-12-09 21:05:00,1
17,1,1457,3,Капля жизни,1702134300,2023-12-09 18:05:00,1
8,0,1057,0,Стив Джобс,1702123500,2023-12-09 15:05:00,1
17,0,1231,0,Домик для отдыха от всего мира,1702112700,2023-12-09 12:05:00,1
13,0,1213,1,Древесная гадюка,1702101900,2023-12-09 09:05:00,1
17,0,1471,2,Аметистовая бабочка,1702091100,2023-12-09 06:05:00,1
14,0,1141,1,Хранитель Анубис,1702080300,2023-12-09 03:05:00,1
17,1,1417,4,Лисица в позе лотоса,1702058700,2023-12-08 21:05:00,1
11,1,1181,0,разрушенная стена дома,1702047900,2023-12-08 18:05:00,1
15,1,1062,0,Полярный медведь рекламирует пиво,1702037100,2023-12-08 15:05:00,1
14,0,1028,3,Одинокая тыква,1702026300,2023-12-08 12:05:00,1
20,1,1300,1,трехмерный кибернетический робот—божья коровка,1702015500,2023-12-08 09:05:00,1
13,1,1067,0,город бога,1702004700,2023-12-08 06:05:00,1
36,0,1789,4,Лестница на луну,1701993900,2023-12-08 03:05:00,1
6,0,1153,0,"изображающий человека, проигрывающего партию в шахматы компьютеру",1701972300,2023-12-07 21:05:00,1
14,0,1083,2,Недовольный кот,1701961500,2023-12-07 18:05:00,1
42,0,2717,13,Нейросеть сгенерировала персонажей «Шрека» в мире победившего киберпанка,1701950700,2023-12-07 15:05:00,7
35,1,3083,48,Подъехал идеальный пуховик на зиму.,1701939900,2023-12-07 12:05:00,3
15,0,1295,0,Вершина горы,1701929100,2023-12-07 09:05:00,1
21,1,1293,3,Шерлок Кот,1701918300,2023-12-07 06:05:00,1
14,3,1493,1,Apple решительно расширяет линейку своей продукции 🍎,1701907500,2023-12-07 03:05:00,6
40,2,2339,24,Disney требует у Microsoft запретить эксплуатацию своих торговых марок в нейросети DALL-E 3,1701885900,2023-12-06 21:05:00,8
19,1,1228,2,Андроид-собака,1701875100,2023-12-06 18:05:00,1
21,1,1908,6,,1701864300,2023-12-06 15:05:00,6
9,0,1163,0,"фантастическое искусство, Танцующая чума",1701864262,2023-12-06 15:04:22,1
26,1,1330,0,Избушка на курьих ножках,1701853500,2023-12-06 12:05:00,1
25,0,1861,5,Гарри Поттер и Тайная комната от Pixar,1701842700,2023-12-06 09:05:00,3
21,1,2729,17,Персонажи губки Боба в качалке,1701835500,2023-12-06 07:05:00,5
19,1,1329,3,Зайчонок,1701821100,2023-12-06 03:05:00,1
15,1,2120,0,На краю земли,1701799500,2023-12-05 21:05:00,1
10,0,1571,5,Супергерои очень любят мороженое,1701788700,2023-12-05 18:05:00,4
23,0,1570,3,Механический ангел,1701777900,2023-12-05 15:05:00,1
22,1,1341,2,массивное солнечное затмение в цитадели,1701767100,2023-12-05 12:05:00,1
17,0,1592,2,Если бы в мире всё было наоборот,1701756300,2023-12-05 09:05:00,1
37,5,2891,5,Агрессивный гриб,1701745500,2023-12-05 06:05:00,1
17,0,1361,2,Природа из снов,1701734700,2023-12-05 03:05:00,4
11,3,1435,4,"Нейросетка DALLE-3 показала, как бы выглядела мультивселенная «Шрека» по её мнению",1701713100,2023-12-04 21:05:00,4
15,1,1642,0,королева лич,1701702300,2023-12-04 18:05:00,1
47,17,4064,21,Нейросеть сгенерировала религии настоящего.,1701691500,2023-12-04 15:05:00,4
22,0,1342,3,Дерево в форме сердца,1701680700,2023-12-04 12:05:00,1
18,0,1855,2,мексиканский день мертвых,1701669900,2023-12-04 09:05:00,1
25,1,2101,1,Древняя Русь,1701659100,2023-12-04 06:05:00,3
16,1,1423,1,Питер Пэн,1701648300,2023-12-04 03:05:00,1
38,0,2021,2,Чудовища в темноте,1701626700,2023-12-03 21:05:00,1
7,4,1696,3,"Невероятная жизнь сосиски, версия Щедеврума ко Дню рождения сосиски",1701615900,2023-12-03 18:05:00,1
9,0,1361,0,Млечный путь,1701605100,2023-12-03 15:05:00,1
19,2,1781,2,"Город эльфов из Властелина колец, версия от нейросети",1701594300,2023-12-03 12:05:00,2
10,0,1299,1,Персонажи Warcraft,1701583500,2023-12-03 09:05:00,3
28,2,2296,3,Зевс — бога неба и грома,1701572700,2023-12-03 06:05:00,1
13,0,2283,2,Нейросеть нарисовала животных во время постапокалипсиса,1701561900,2023-12-03 03:05:00,2
27,0,2096,4,Оборотень вампир,1701540300,2023-12-02 21:05:00,1
15,1,1564,4,Новогодняя открытка,1701529500,2023-12-02 18:05:00,5
17,0,1739,1,темный монстр с множеством глаз,1701518700,2023-12-02 15:05:00,1
15,1,1095,0,Снеговик,1701507900,2023-12-02 12:05:00,1
26,6,3041,8,Нейросеть перерисовала героев «Скуби-Ду»,1701497100,2023-12-02 09:05:00,3
29,0,2451,3,Рыбные воры,1701486300,2023-12-02 06:05:00,2
14,0,1202,1,Дворцовые тайны,1701475500,2023-12-02 03:05:00,1
10,0,1676,1,Рыцарская бригада «Розовый ангел»,1701453900,2023-12-01 21:05:00,4
79,5,9862,72,«Игра советских социалистических престолов»,1701443100,2023-12-01 18:05:00,6
28,2,1870,1,Влюбленные под звездным небом,1701432300,2023-12-01 15:05:00,1
18,0,1583,5,Странник,1701421500,2023-12-01 12:05:00,5
25,0,2365,1,Женщина-паук,1701410700,2023-12-01 09:05:00,1
25,2,1427,3,Греческая статуя ангела с оружием в руках,1701399900,2023-12-01 06:05:00,1
55,0,3688,24,"Кого то кот напоминает, пересылай другу который играет в танки.",1701389100,2023-12-01 03:05:00,1
15,1,1303,1,Недовольный кот,1701367500,2023-11-30 21:05:00,1
41,3,3130,9,Антиутопия,1701356700,2023-11-30 18:05:00,1
14,0,1541,2,Геройские псы,1701345900,2023-11-30 15:05:00,4
22,0,1588,2,В космобаре,1701335101,2023-11-30 12:05:01,1
17,1,1288,1,Черные дыры,1701324300,2023-11-30 09:05:00,3
18,2,1331,5,"Аниме ""Гарри Поттер"" от Midjourney 
 
Впереди тяжелые времена, и нам всем придется выбирать между тем, что правильно, и тем, что легко. (Альбус Дамблдор)",1701313500,2023-11-30 06:05:00,8
23,0,1922,8,"Кроссовер «Бэтмена» и «Безумного Макса» от Midjourney. 
 
Такое кино нам надо.",1701302700,2023-11-30 03:05:00,6
2,0,1272,1,,1701284700,2023-11-29 22:05:00,1
18,0,1219,1,Дождливый вечер,1701281100,2023-11-29 21:05:00,1
11,1,1272,2,Искушение,1701270300,2023-11-29 18:05:00,2
24,0,1359,2,,1701259500,2023-11-29 15:05:00,1
35,0,2229,13,Коты и спагетти,1701248701,2023-11-29 12:05:01,3
14,0,1455,3,злое существо в центре 4d дымового облака,1701237900,2023-11-29 09:05:00,1
5,3,1235,0,"Babies Gotham от Midjourney 
 
Нейросеть весьма неожиданно решила представить героев комиксов DC в виде младенцев. Но кто эти малыши и какие супер способности у них?",1701227100,2023-11-29 06:05:00,5
42,4,3162,15,Гибриды животных от Midjourney,1701216300,2023-11-29 03:05:00,5
2,0,1353,0,,1701198300,2023-11-28 22:05:00,1
32,2,2529,4,жуткий робот из джунглей,1701194700,2023-11-28 21:05:00,1
9,0,1449,2,Неоновая призрачная дева,1701183900,2023-11-28 18:05:00,4
12,0,1344,1,Апокалипсис,1701173100,2023-11-28 15:05:00,1
21,1,1632,0,Ангельский космонавт,1701162300,2023-11-28 12:05:00,1
6,0,1325,0,Пара в танце: бал Ренессанс,1701151500,2023-11-28 09:05:00,2
22,0,2307,5,"Кошачий кунг-фу 
 
Интересно, норм преподают кунг-фу? 🤔 
 
Я бы хотел попробовать позаниматься у них",1701140700,2023-11-28 06:05:00,1
16,1,2420,7,Нейросеть MidJourney хуманизировала сырки Б.Ю Александров.,1701129900,2023-11-28 03:05:00,6
6,1,1360,5,,1701111900,2023-11-27 22:05:00,1
25,0,2750,8,Эстетика киберпанк красоток,1701108300,2023-11-27 21:05:00,9
8,0,1366,2,"""Борьба между львами и гиенами""",1701097500,2023-11-27 18:05:00,2
34,0,2025,3,Девушка на крыше,1701086700,2023-11-27 15:05:00,1
15,0,1435,2,тусклые неоновые башни в тумане,1701075900,2023-11-27 12:05:00,1
14,0,1254,0,Пламенная вода,1701065100,2023-11-27 09:05:00,1
27,0,2801,7,"Известные актеры в образе коллекционных игрушек от Midjourney 
 
Скоро на всех витринах детских магазинов мира...",1701054300,2023-11-27 06:05:00,6
28,0,3205,9,"Герои ""Гарри Поттера"" на обложке модного журнала Vogue. Работа нейросети MidJourney.",1701043500,2023-11-27 03:05:00,6
3,0,1267,0,,1701025500,2023-11-26 22:05:00,1
13,0,1562,2,Феникс,1701021900,2023-11-26 21:05:00,1
42,3,2686,3,"Портрет робота—детектива, держащего в руке розу",1701011100,2023-11-26 18:05:00,1
22,3,2281,4,Робосаблезуб,1701000300,2023-11-26 15:05:00,1
22,0,1648,2,Теневой хранитель,1700989500,2023-11-26 12:05:00,1
24,0,1891,4,Женщина-паук,1700978700,2023-11-26 09:05:00,1
28,0,2602,8,"Знаменитости, если бы они были простыми работягами. Генерация нейросети MidJourney.",1700967900,2023-11-26 06:05:00,4
16,0,1394,6,Коты мастера боевых искусств. Генерация MidJourney.,1700957100,2023-11-26 03:05:00,4
2,0,1279,3,,1700939100,2023-11-25 22:05:00,1
15,0,1427,2,Байкер Вейдер,1700935500,2023-11-25 21:05:00,1
12,0,1452,2,Великий архимаг,1700924701,2023-11-25 18:05:01,1
16,0,1238,3,Милое существо в пшенице,1700913900,2023-11-25 15:05:00,1
35,1,1885,6,👁 Нейросеть трансформировала персонажей GTA в котов.,1700892300,2023-11-25 09:05:00,5
33,0,1494,5,"Фантастические жилища от Midjourney 
 
Эти дома отлично бы вписались в кинокартину «Дюна»",1700881500,2023-11-25 06:05:00,5
34,8,3860,16,"""Матрица"" в советском стиле. Работа MidJourney.",1700870700,2023-11-25 03:05:00,5
4,1,1282,1,,1700852700,2023-11-24 22:05:00,1
19,0,1333,1,Звездопад над заснеженным спуском,1700849100,2023-11-24 21:05:00,1
16,0,1359,4,Успокаивающие небеса,1700838300,2023-11-24 18:05:00,3
24,0,1741,8,Собрали пикчи из Шедеврума с Disney 2077.,1700827500,2023-11-24 15:05:00,7
12,1,1340,9,Если бы покемоны были котами,1700816700,2023-11-24 12:05:00,8
26,0,1623,3,Нейросетевые города,1700805903,2023-11-24 09:05:03,5
20,0,1468,1,"Корoли звеpeй от нейросети Midjourney 
 
Фантазия, технические возможности и креативность нейронки снова поражают своими результатами, и мы с нетерпением ожидаем новых творений!",1700795100,2023-11-24 06:05:00,6
14,2,1784,6,Midjourney сгенерировала вкуснейший мясной стейк,1700784300,2023-11-24 03:05:00,1
3,0,1314,3,,1700766300,2023-11-23 22:05:00,1
16,0,1354,0,Научно-фантастическая сцена,1700762700,2023-11-23 21:05:00,1
33,0,2510,5,Гармония,1700751900,2023-11-23 18:05:00,1
60,1,2741,4,Футризм 70-ых,1700741101,2023-11-23 15:05:01,1
19,4,1805,2,Гигантский земной астронавт сталкивается с формами жизни на другой планете,1700730300,2023-11-23 12:05:00,1
8,0,1305,0,Вселенская мощь,1700719500,2023-11-23 09:05:00,1
56,2,3991,36,"«Гарри Поттер» в Германии времён Третьего рейха от Midjourney 
 
Jedem das Seine! — Каждому своё!",1700708700,2023-11-23 06:05:00,4
23,7,1392,15,"""Звёздные войны: Атака котов"", альтернативный шедевр Джорджа Лукаса. Работа MidJourney.",1700697900,2023-11-23 03:05:00,9
0,0,1092,0,,1700679900,2023-11-22 22:05:00,1
5,0,1247,1,Рыцарь нечестивости,1700676300,2023-11-22 21:05:00,1
24,1,2463,4,Внутреннее око души,1700665502,2023-11-22 18:05:02,1
14,0,1165,0,3D игровой контроллер,1700654700,2023-11-22 15:05:00,1
11,0,1273,0,Продавец цветов,1700643900,2023-11-22 12:05:00,1
24,0,1802,9,Броккотли,1700633101,2023-11-22 09:05:01,1
2,0,1397,1,"Эпоха кибер-удаленки наступит в 2024 году.

Контент-план на неделю — 5 минут.
Пост для соцсетей — 2 минуты.
Картинки, дизайн, оформление — 10 минут.
Презентация — 25 минут.
Аналитический отчет в ексель на 6 листов — 40 минут.

Так устроены будни кибер-удаленщика, который перестал сутками сидеть на работе и часами вносить правки от требовательного начальника.

Зачем? Если теперь всю рутинную работу за вас может сделать нейросеть.

ChatGPT и другие модели уже достигли такого уровня, что могут:

– писать тексты и подстраиваться под любую аудиторию;
– генерировать контент-планы;
– присылать готовые сценарии для видеороликов;
– строить воронки продаж;
– создавать визуальный контент от картинок и видео до готового оформления соцсетей.
– Создавать презентации.
– Делать аналитические отчеты в ексель.
– Писать программный код.

И пока одни специалисты работают 24 на 7 без отдыха и отпуска, живут на кофе, выгорают и из месяца в месяц разочаруются в своей зарплате.

Другие давно уже делегировали рабочие задачи нейросетям и сфокусировали свое внимание на креативе и развитие карьеры.

Чтобы общаться с нейросетями, вам не надо быть крутым программистом или хорошо разбираться в технологиях.

Всё, что нужно — правильно задавать промпты, команды для искусственного интеллекта.

«Напиши 5 заголовков, которые привлекут внимание аудитории».
«Составь таблицу расходов и доходов предприятия по вот этим данным».
«Пришли сценарий для вирусного ролика длительностью в 1 минуту».

Чтобы подробно показать, как устроен искусственный интеллект и как с ним взаимодействовать для решения задач в любой сфере, «SMM Академия» проведет универсальный полный курс по нейросетям.

В нем мы собрали всю актуальную информацию, которая может потребоваться и будет помогать в SMM-сфере.

В курсе 5 уроков, практические домашние задания, закрытый чат участников, дополнительные обучающие материалы.

Во время уроков проведем демонстрацию работы нейросетей, разберем суперкейсы, покажем, как генерировать огненный контент и расти при помощи ИИ в карьере и доходе.

Без воды и сложных терминов.

Несмотря на то что курс бесплатный, мы:

1. Собрали в нем всю актуальную и полезную информацию.
2. Даем участником возможность выбрать удобное время для просмотра.
3. После регистрации дарим подарок — чек-лист «Нейросети — помощники для продвижения в соцсетях».

Чтобы записаться на курс, вам нужно просто перейти на сайт и оставить заявку:

https://smm-academy24nn1.ru/neirodengi_mmp?utm_source=faq_f17&utm_medium=mp&utm_campaign=f17&utm_content=k4t1118_5

Важно. На момент выхода поста осталось всего 10 свободных мест. Успейте занять свое!",1700625900,2023-11-22 07:05:00,1
26,5,2980,9,"Животные в образе людей из CССР от Midjourney 
 
Слава великому советскому народу, народу-созидателю!",1700622300,2023-11-22 06:05:00,6
