user_id,group_name,activity
6158,Worlds of Warhammer. Cosplay & LARP,Фан-сообщество
6158,E:\music\IDM,Электронная музыка
6158,J I N O V A  :  3d digital art:: Jewels:: mask::,Дизайнер
6158,Mid-drive электробайки с центральными моторами,Активный отдых
6181,Артемий Лебедев,Дом культуры
6181,Стартапы и бизнес,Бизнес
6181,Церебро Таргет | продвижение и реклама бизнеса,Приложение
6181,App2Top,Видеоигры
6181,"КУПИ,,ПРОДАЙ Сольцы",Городское сообщество
6181,Тинькофф Журнал,Финансы
6181,Подслушано Бизнес,Бизнес
6181,Миша инвестирует,Блогер
6181,"Полжизни я пропил, полжизни пропью",Фотограф
6181,Ответошная,Философия
6181,art.k.a.t.e,Художница
6181,Петербург | Ретроспектива,Городское сообщество
6181,Личный блог про разработку игр,Бизнес
6181,Ленивый инвестор,Финансы
6181,prototype.indie,Видеоигры
6181,Подпишись на подарки «Лучшие игры»,Интеллектуальные игры
6181,"Геймдев, который мы заслужили",Видеоигры
6181,60172824s,Фотография
6181,Pro IT FEST,Программирование
6181,Роем!,Программирование
6768,Милые картинки,Творчество
6768,Натальная карта,"Шоу, передача"
6768,ЦЕХ 611. ФОТОПРОЕКТЫ.,"Стиль, мода"
6768,Хобби-уголок: одежда для кукол Барби.,Творчество
6768,Магазин стильной одежды Jeans Line,"Одежда, обувь"
6768,Девяткино LIVE | Мурино,Городское сообщество
6768,Мода,"Стиль, мода"
6768,ИСТОРИЯ МОДЫ,Культурный центр
6768,Шедевры Кино | Фильмы 2024 |  | Новые Фильмы,Кино
6768,"ЭГО | Психология, саморазвитие",Философия
6768,"FASHION-БИТВА в ТРК ""Гулливер""","Стиль, одежда, обувь"
6768,L22 | Лаборатория дизайнерской одежды,"Одежда, обувь"
6768,Женские истории,Другие хобби
6768,Винтажная мода,"Стиль, одежда, обувь"
6768,Вандроўкі,"Туризм, путешествия"
6768,"МВЦ ""Музей Моды""","Музей, галерея, выставка"
6768,Мода | Платья | Одежда,Издательский дом
6768,Odyssey Festival,Фестиваль
6768,Наша правда,"Кулинария, рецепты"
6768,Галактика. Ткани и Фурнитура в Челябинске,Товары для творчества
8093,Проектная группа CRԐ8,Дом культуры
8093,Another Architecture,Культурный центр
8093,Labyrinth,Театр
8093,Странный юмор™,Юмор
8093,Хахаски,Юмор
8093,ВКонтакте с авторами,ВКонтакте
8093,Маги шутят,Философия
8093,ArchBlog | Архитектура,Дизайн и графика
8093,Gudim.,Художник
8093,Cityzond | архитектура и урбанистика,Городское сообщество
8093,URALRUIN,"Туры, экскурсии"
8093,Частный архитектор-дизайнер.,Дизайн-студия
8093,Drafting Design - Дизайн Чертежи,Дизайнер
8093,"Aloha, Beaches!",Юмор
8093,Осиновая роща: новый парк,Городское сообщество
8093,Современность | вдохновение и идеи,Дизайн интерьера
8093,4 минуты лета | нейминг от бога,Бизнес
8093,"Тамара, какого хрена?",Дискуссионный клуб
8093,⚓ Ретро Севастополь ★ Старые фото ★ История ⚓,История
8093,Потрясающая девушка,Уход за собой
10491,Книга выживания,Активный отдых
10491,Работа для студентов в СПб | Стажировки,Поиск работы
10491,European Heritage | История,История
10491,Петербург | Ретроспектива,Городское сообщество
10491,"ЦСП Алгоритм - ТакМед, ПП, НВП",Дополнительное образование
10491,Пыталовское информационное сообщество I Пыталово,Городское сообщество
10491,Cat_Cat,Образование
10491,Мини Дом / Tiny House,"Строительство, ремонт"
10491,Простые числа,Образование
10491,ГЕОландия — страна географии,Образование
10491,Вселенная Истории,История
10491,Норин,История
10491,Страдающее Средневековье,Зоопарк
10491,Высокое Средневековье,История
10491,Характерология МИФА,Наука
10491,22 - Колобанов,Книга
10491,WeHistory,История
10491,Древний мир: история и факты,Публичная страница
10491,Советская История,Образование
10491,Lingua_Latina_Vivat,Языки
10533,IKONA RUSSIA,Философия
10533,НОВИНКИ КИНО 2024 НОВЫЕ ФИЛЬМЫ,Кино
10533,All-Ex,Кино
10533,Midjourney — арты от нейросети,Творчество
10533,Книги,Литература
10533,Александр Анатольевич,Ведущий
10533,ВЕДОМОСТИ,Интернет-СМИ
10533,Другая Музыка,Другая музыка
10533,UFC,Боевые искусства
10533,Книги | Литература | Саморазвитие,Литература
10533,НОВИНКИ КИНО 2024,Кино
10533,Новости RT на русском,Интернет-СМИ
10533,Интересные события в Санкт-Петербурге,Городское сообщество
10533,База вопросов игры Что? Где? Когда?,Дискуссионный клуб
10533,HD Кино Просмотр,Фильм
10533,Душевная Музыка,Обмен музыкой
11788,Псиметрика,Дизайн-студия
11788,Дубна | Вести,Интернет-СМИ
11788,"Дубна. Вечеринки и мастер-классы в ""Палитре""",Организация праздников
11788,"""Дубна для Вас"". Люди Дубны. Новости.",Информационный портал
11788,"Арт-пространство ""Андеграунд Неоклуб ""Ча"", Дубна",Электронная музыка
11788,Натуральные лица,Фотография
11788,"Центр  ""Дружба"" г. Дубна",Дополнительное образование
11788,In Cor Cadit,Наука
11788,Ван Гог за тушёнку,Творчество
11788,Ремесленники Дубны,Другие хобби
11788,Центральный Комитет Психонавтов,Общество
11788,Бессознательное искусство,Творчество
11788,"Формовка и заливка : силикон, пластик, смола",Другие хобби
11788,Fractalika,Культурный центр
11788,Русская эпитафия,Философия
11788,PolyFish | papercraft,Творчество
11788,Шапки Мозгоеды,"Стиль, мода"
11788,/Гвоॐди,Программное обеспечение
11788,отголоски прошлого,История
11788,GEN-OHM,Музыкант
15010,Пикабу,Юмор
15010,Научно-популярная психология,Отношения полов
15010,Санкт-Петербург Live,Интернет-СМИ
15010,Шувалово - Озерки | Выборгский район | СПб,Соседи
15010,НЕ ПОВЕРИШЬ!,"Шоу, передача"
15010,Новый Петербург,Городское сообщество
15010,Наш дом — Гражданка | Калининский район | СПб,Городское сообщество
15010,Ольга С Корги,Комик
15010,Хороший сценарий,Группа коллег
15010,Интересные события в Санкт-Петербурге,Городское сообщество
15010,Андрей Попов  иронический художник,Художник
15010,Наш Санкт-Петербург | Питер,Городское сообщество
15010,Лепра,Юмор
15010,"Пешеходные экскурсии ""Free SPb""","Туры, экскурсии"
15010,ХронЭкс - бесплатные экскурсии по Петербургу,"Туры, экскурсии"
15010,В гостях у Белочки (В.Г.У.Б.),Юмор
15010,Добрые мемы : ),Юмор
15010,Калининский район,Городское сообщество
15010,Идеи Handmade,Творчество
15010,Странный юмор™,Юмор
15448,Пушкино Сегодня,Городское сообщество
15448,Пушкино Live,Городское сообщество
15448,Коммерсантъ,Интернет-СМИ
15448,Российская Газета,Интернет-СМИ
15448,ВЕДОМОСТИ,Интернет-СМИ
15448,Типичное Пушкино ™,Интернет-СМИ
15448,ТАСС,Интернет-СМИ
15448,FTRM,Фотография
15448,Наука и Техника,Наука
15448,Весёлый Социопат,Юмор
15448,Лепрозорий,Юмор
15448,ИноСМИ,Интернет-СМИ
15448,Министерство энергетики Российской Федерации,Государственная организация
15448,Дмитрий Медведев,Политика
15448,Мизантроп,Юмор
15448,Национальный антитеррористический комитет,Государственная организация
15448,Russian Traveler,Интернет-СМИ
15448,Темная сторона,Юмор
15448,Вася Ложкин и его котики (фан-клуб),"Музей, галерея, выставка"
15448,LOL STUFF,Юмор
16148,Тачки за 300,Автомобили
16148,MRZLK,Блогер
16148,Типичное Щёлково  | Новости | ТЩ,Интернет-СМИ
16148,E.squire,Бизнес
16148,Авторынок VAG,Услуги для автовладельцев
16148,Журнал Эротика,Эротика
16148,Пегов Авто,Автосалон
16148,MFA,Творчество
16148,Бесплатная Тату / Ищу • ТАТУ МАСТЕРА • СПб/МСК,Тату-салон
16148,Околотату,Тату-салон
16148,ТАТУ БАРАХОЛКА,Объявления
16148,Кристаллизованное зло,Юмор
16148,"Барахолка ""G-Shock Buyers"" Casio Originals",Часы
16148,"Ищу тату мастера/модель Москва, Спб",Культура
16148,Cosplay chan,Фотография
16148,@INSTAGIRLS,Фотография
16148,МХК,Юмор
16148,ТАТУ БАРАХОЛКА,Объявления
16148,ТАТУ ГЕНЕРАЦИЯ | online festival,Фестиваль
16148,ФИЛЬМЫ КУЛЬТОВЫХ РЕЖИССЁРОВ,Кино
